Coluna Original,Coluna corrigida,Tipo de Dado,Observações
employee_id,ID do Colaborador,object,"Identificação do colaborador = Ex: EMP_00001, EMP_OOOO2"
job_title,Cargo,object,"Gerente de RH, Engenheiro de Dados, Desenvolvedor Python, Analista Financeiro, Coordenador de TI, Auxiliar Administrativo, Consultor de BI, Analista de Dados, Diretor de Operações, Estagiário"
department,Departamento,object,"Financeiro, Marketing, Operações, Recursos Humanos, Jurídico, TI, Vendas"
location,Localização,object,"Salvador, Belo Horizonte, Porto Alegre, Curitiba, São Paulo, Fortaleza, Rio de Janeiro"
salary,Salário,float64,Valor contínuo em reais
hire_date,Data de Admissão,datetime64[ns],Convertido para datetime
termination_date,Data de Demissão,datetime64[ns],
is_active,Está Ativo,object,"'Sim' - indica que está ativo, 'Não' - indica que foi desligado"
absence_days,Dias de Falta,int64,Faltas injustificadas e justificadas
sick_days,Dias de Licença Médica,int64,
vacation_days_taken,Dias de Férias Usufruídos,int64,
bank_hours,Banco de Horas,int64,Pode conter valores negativos (uso ou dívida)
overtime_hours,Horas Extras,int64,Horas extras acumuladas
tardiness_count,Quantidade de Atrasos,int64,Contagem de atrasos registrados
gender,Gênero,object,"Categoria: Feminino, Masculino e Outro"
marital_status,Estado Civil,object,"Categoria: Viúvo(a), Casado(a), Divorciado(a), Solteiro(a)"
number_of_dependents,Número de Dependentes,int64,Número inteiro
education_level,Nível de Escolaridade,object,"Categoria: Graduação, Mestrado, Ensino Médio, Doutorado"
performance_rating,Avaliação de Desempenho,int64,Nota de 1 a 5
bonus_percentage,Percentual de Bônus,float64,Percentual de bônus - contínuo
shift,Turno,object,"Turno de trabalho: Manhã, Tarde, Noite"
contract_type,Tipo de Contrato,object,"Tipo contratual: Permanente, Temporário"
cost_center,Centro de Custo,object,Código de centro de custo
compliance_status,Status de Conformidade,object,Status de conformidade
health_plan,Plano de Saúde,object,"Premium, Básico, Padrão"
email,Email,object,Formato padrão de e-mail
tenure_years,Tempo de Empresa (anos),float64,Anos de empresa (float)
probation_completed,Período de Experiência Concluído,object,"Sim, Não"
manager_id,ID do Gestor,object,ID do gestor (Chave Gestor)
last_promotion_date,Data da Última Promoção,datetime64[ns],Nulos indicam sem promoção registrada
last_training_date,Data do Último Treinamento,datetime64[ns],Nulos indicam ausência de treinamentos recentes
,Flag: Promoção após Demissão,object,"Indica registros em que a data da última promoção é posterior à data de demissão, o que é logicamente inconsistente."
,Flag: Demissão antes da Admissão,object,"Identifica casos onde a data de demissão ocorre antes da admissão, o que aponta para erro nos dados históricos"
,Flag: Treinamento antes da Admissão,object,"Aponta registros em que a data do último treinamento ocorreu antes da admissão, o que pode sugerir erro de cadastro ou transferência interna sem ajuste de datas"
